Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
A0R1	0.0130255060338108	0.481067356444348	0.0378898011304661	0.25344766974863	0.109577064010532	0	0	0.00666700435262736	0	0	0.0122096787885321	0	0.0244708659926525	0.0126855120206432	0.0135549896502245	0.0354045518275339	0	0	0.461761035082865	0.936520304773585
A0R2	0.0109465740985801	0.478485522534723	0.0300493176833013	0.275711696460459	0.105659842006965	0	0	0.00792541237094272	0	0	0.00490158759467983	0	0.0197019644521028	0.0123971886251633	0.0146384399871658	0.0395824541859169	0	0	0.508290478671508	0.927618393661794
A0R3	0.0165457335052524	0.479641567079586	0.0451867889450389	0.231062475366125	0.118598250153861	0	0	0.0113059992327633	0	0	0.0155980588001458	0	0.0232013950827491	0.0107085734671294	0.0171142973854065	0.031036860981942	0	0	0.477289471681587	0.934993166998886
A1R1	0.0112502137807236	0.425587220671916	0.0641081126624977	0.245167217635436	0.164173437965637	0	0	0.00977927773198945	0	0	0.0127449815882581	0	0.0212427909907233	0.00959495109714776	0.0123029503068446	0.0240488455688266	0	0	0.50570426461913	0.930924001408742
A1R2	0.010726339552721	0.467144263365385	0.0622064331286464	0.235264961888418	0.137348912960796	0	0	0.00600079460415899	0	0	0.0102538146055981	0	0.0212538543785171	0.00771088390901921	0.00942810920783611	0.0326616323989041	0	0	0.488202446022156	0.93536727351536
A1R3	0.00980549774886552	0.4648863921777	0.0759216925900516	0.223648482501098	0.152060540736588	0	0	0.0095186187366342	0	0	0.013694170082215	0	0.0190899120231895	0.00605049011533595	0.008998903234187	0.016325300054135	0	0	0.513665407880342	0.932668956746918
A4R1	0.0111869322593596	0.255811503535991	0.100902457076275	0.277512393098128	0.162923383228713	0	0.0814537059188148	0.0129855139055144	0	0.0173540081871829	0.00200474915515731	0	0.02332285490995	0.0124503312373093	0.00824247175703491	0.03384969573057	0	0	0.482040336794844	0.931578439351691
A4R2	0.00921548695164362	0.318557344659847	0.0954386434019085	0.247616956913829	0.123837033573125	0	0.0965876703592829	0.0124845174321201	0	0.0148838039045281	0	0	0.0288136977995664	0.0073870397773899	0.00679845662468679	0.0383793486020724	0	0	0.456316906285581	0.937572223092134
A4R3	0.00610258616469836	0.33889805826923	0.07375472816056	0.276473441817494	0.117404332184286	0	0.106626078648668	0.00387132602786258	0	0.00458664666999738	0.00088208416128313	0	0.0198208143460131	0.00595341970660424	0.00734991389122758	0.0382765699520757	0	0	0.479832330401555	0.934900668876219
A8R1	0.00866819581854736	0.300380604780084	0.0396300253315798	0.193168296728546	0	0	0.348857988840989	0.00928754869040713	0	0.027037025804219	0.000257500238182963	0	0.0161960958562036	0.00699501632356457	0.00295216792574804	0.0465695336619282	0	0	0.465955711892719	0.944170171064792
A8R2	0.00765092769043923	0.30330684736024	0.0350485965968119	0.20827481979395	0	0	0.329934276517989	0.00490234909432995	0	0.0224551872911441	0	0	0.0170448027838387	0.00679640465066698	0.0049662430712873	0.059619545149303	0	0	0.45980437061526	0.943996503130487
A8R3	0.00902218729027743	0.280298483862478	0.0335817407235309	0.20624663607911	0	0	0.352181222346223	0.00923436180286053	0	0.031017244228112	0.000744729724778204	0	0.0191284373153805	0.00736369918564884	0.00532120724020226	0.0458600502013984	0	0	0.494698443707128	0.93791917956962
A12R1	0.00732299790698216	0.486011042171264	0.0464344306946733	0.125269411518663	0	0	0.219203381693079	0.00647889298991564	0	0.0299277674210622	0.00253124146758899	0	0.018287978255151	0.00720923429740052	0.00285064423195441	0.0484729773522653	0	0	0.435342613053494	0.951936657546101
A12R2	0.00421228382343953	0.479448117049915	0.0411234551363804	0.134795610388598	0	0	0.231540507619343	0.00339357872995424	0	0.0303983124270343	0.00299258085655803	0	0.0147831795722829	0.00767577998342064	0.00283913346320036	0.0467974609498737	0	0	0.452215751427895	0.95042993851745
A12R3	0.00485175863714686	0.475976282141376	0.0471475750840333	0.141410726146406	0	0	0.225112777782771	0.00321831304841831	0	0.0266734075354649	0.00345856930634386	0	0.0164573564452796	0.00542556596029744	0.00365363722517345	0.0466140306872901	0	0	0.419770039055892	0.954146246927157
A16R1	0.0055537748157826	0.544153485210758	0.061648345507711	0.151604314075967	0	0	0.14268435381177	0.00415267794784977	0	0.0192202476290583	0.00625770335224366	0	0.0195475621680436	0.00517974487422803	0.00532101266872222	0.0346767779378657	0	0	0.417081390637665	0.952860093341068
A16R2	0.00568775828186487	0.546454839454218	0.0733961228528898	0.139717157440186	0	0	0.137403771684825	0.00399922746053	0	0.0317073967635902	0.00361814463068646	0	0.0173520945939669	0.00266425927727016	0.00486656717512459	0.0331326603848483	0	0	0.421735659637041	0.953171128330721
A16R3	0.00412053255904755	0.545195609944511	0.073359089641227	0.133324205068563	0	0	0.152398492117927	0.00238189909758593	0	0.0232103824055726	0.0024378287706884	0	0.0140361816119534	0.00616941483138106	0.00567974477713419	0.0376866191744096	0	0	0.411218885771701	0.955513162130393
A20R1	0.00934297562018795	0.598223127607372	0.0195720226146586	0.20494651984604	0	0	0.0747553368172916	0.00531203272637459	0	0.0105320503022502	0.00713756773621188	0	0.0152690520945486	0.00853936673641092	0.00942701744483235	0.0369429304538216	0	0	0.458627088578834	0.943784305529988
A20R2	0.0117418450181389	0.621030586052445	0.0202916991936659	0.199063511571886	0	0	0.0622734065953513	0.00910737130059031	0	0.0079936332635824	0.00619003073674966	0	0.0169480553669229	0.0022861318016123	0.00734278825064027	0.035730940848416	0	0	0.45673114174076	0.943925060482142
A20R3	0.0141534752515512	0.614255956862317	0.0153558494624798	0.18643451347471	0	0	0.0658439093761891	0.00976371125223505	0	0.0105681713497981	0.0136439378590471	0	0.0195883350040143	0.00964173834078643	0.00871750667261509	0.0320328950942562	0	0	0.462387295514557	0.94274886787124
B0R1	0.00988496601327921	0.404243881947223	0.10013848798331	0.194508477935247	0.209834202723681	0	0	0.032569173776275	0	0	0.0132446755215469	0	0.0114068683827341	0.00226463278031052	0.0113795121580216	0.00546209861564374	0.00506302216272783	0	0.591104806035884	0.918541626293501
B0R2	0.00864740012305499	0.424169440749658	0.0980551463706027	0.209572413967376	0.195438082179693	0	0	0.018459769054853	0	0	0.00866260305438009	0	0.0190553709349664	0.00108720887898148	0.0112237119446524	0.00530474720079812	0.00032410554098285	0	0.587602185180167	0.920038821834795
B0R3	0.0087827384805505	0.418780593195607	0.100410475514169	0.198708063222516	0.209035983273799	0	0	0.0245432387278329	0	0	0.0113188951896716	0	0.0104597384795754	0.00220206294952284	0.0107479187084062	0.00339183850295211	0.00161845375539758	0	0.583854312523249	0.92241814448155
B1R1	0.00779477475394285	0.408779729184819	0.120595144903052	0.179223276640118	0.236717681806991	0	0	0.0239909209507831	0	0	0.00134807871775921	0	0.0104177455726322	0.000893601024004545	0.00745142306438576	0.00278762338151348	0	0	0.562715460668444	0.927439254900098
B1R2	0.0102706002860599	0.386688715724376	0.141163199572725	0.19641070550639	0.205061756711119	0	0	0.0277601279233399	0	0.00621453013180479	0.000450031006233489	0	0.0123500231849023	0.000731389063294425	0.00672054201802348	0.00553687305997476	0.000641505811757417	0	0.556906986127436	0.925385856630303
B1R3	0.00787263738684665	0.389742639918759	0.119021289411764	0.192022541488186	0.237818580719225	0	0	0.0253812491390378	0	0.00189040120643518	0.00131073592481858	0	0.0122798986723979	0.000849269198821024	0.00789894710656552	0.0035288622943173	0.000382947532824728	0	0.565184664498306	0.925370996115301
B4R1	0.00756892977146978	0.241252336398052	0.106931642015889	0.288615405002491	0.205515241887857	0	0.0560631911272665	0.0269132869905871	0	0.0359213147912929	0	0	0.0163026058475873	0.00081955846491627	0.00593826055799236	0.00815822714459963	0	0	0.553219624129848	0.917767976005308
