UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
5	0
8	0
18	3
35	2
0	0
0	0
0	0
0	0
0	0
0	0
13	4
0	0
0	8
0	0
0	0
0	7
0	3
0	0
0	0
0	0
0	0
0	2
0	15
0	1
0	3
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	426
0	0
0	0
0	0
10	13
0	0
0	0
0	0
0	1
0	0
0	0
55	0
0	0
0	2
2	6
1	3
0	6
1	65
0	6
0	0
0	0
2	9
1	0
3	7
5	0
0	0
0	9
0	0
13	0
7	0
35	0
0	0
18	0
0	0
15	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	55
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
0	4
0	0
0	0
0	0
2	0
0	0
55	0
1	15
3	2
0	3
1	0
0	0
0	0
0	0
0	0
0	0
40	19
0	7
0	0
0	0
3	0
1	0
0	0
0	9
0	0
2	89
11	10
0	0
4	1
0	0
0	0
0	0
0	0
0	0
0	0
2	6
0	0
0	0
0	0
3	4
0	4
0	0
0	0
27	0
9	0
0	0
1	0
4	0
2767	5
0	0
329	0
11	0
0	0
64	0
49	0
8	0
0	0
0	0
394	3
129	3
82	0
228	0
281	34
398	0
330	0
1241	0
0	0
0	0
77	0
0	0
0	0
0	0
0	0
3773	49
2480	49
7	0
113	0
2	0
0	0
1399	0
643	2
749	2
186	0
1	0
3153	0
0	0
2	0
0	0
5975	26
15723	57
3503	29
0	0
0	0
97658	2433
206582	2471
1506	43
35	0
4	0
32	0
502	0
509	0
52	0
5	0
7	0
68	0
1	0
3	0
0	0
1	0
1485	0
132	0
832	0
59	0
28	0
1427	1
1081	2
7	0
27	0
40	0
204	0
141	0
5687	19
2950	18
287	0
4537	5
15308	88
28520	77
21944	275
12022	351
3011	152
22617	202
2001	121
0	0
177	0
9	0
3	0
591	0
5142	18
3023	19
0	0
0	0
0	0
0	0
0	0
0	5417
180	0
6113	0
0	0
157	0
140	0
39	1
32	1
86	0
149	4
636	11
1616	7
444	0
44921	5425
37	1944
0	1691
12	1765
12	1492
355	203
7	203
1902	0
2	523
32	523
90	3
0	3
0	0
0	2
4	2
176	0
0	1
1103	0
20	0
66	0
0	0
0	0
0	0
0	0
298	0
190	0
45	0
141	3
0	0
34	0
23	0
6	11
1	11
128	0
2475	1
0	0
60	167
8	167
317	978
0	978
4	0
39	638
89	638
236	756
3	756
0	0
620	0
15	16
0	16
172	0
14	3
3	3
0	0
777	0
1685	0
10	1
0	1
0	0
81	0
0	0
25	312
0	245
0	184
0	251
780	1
17779	5
1	0
69	346
0	346
1	0
48	0
221	0
717	1
52	142
5	123
13	142
11	0
