UniqueCount	AmbigCount
0	0
0	0
0	9
0	0
5	0
19	0
42	2
77	1
0	0
4	0
3	0
1	0
3	0
0	0
96	21
0	6
0	73
0	0
0	1
0	6
0	6
0	0
0	0
0	0
0	0
0	3
0	12
0	4
0	16
0	1
0	0
2	0
7	0
0	0
0	0
0	0
0	78
0	0
0	0
1	0
30	53
0	0
0	0
0	0
1	0
0	0
3	0
177	0
0	8
0	9
11	19
0	16
4	3
7	68
0	10
0	0
0	1
20	44
4	6
10	23
11	0
0	0
0	16
1	0
22	0
9	0
75	0
0	0
110	0
0	0
66	0
1	0
1	0
25	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	68
0	0
0	0
0	1
0	0
0	0
1	0
4	2
3	4
0	8
0	0
0	5
0	0
2	4
0	1
74	0
2	26
12	2
0	12
17	3
0	1
0	3
0	1
2	0
0	0
190	63
0	20
1	0
1	1
7	0
12	0
0	0
2	17
0	0
8	270
24	57
6	0
21	6
0	0
0	0
0	0
0	0
0	9
0	3
2	52
0	0
0	0
0	0
9	7
0	14
0	0
4	0
83	0
60	0
0	0
0	0
3	0
2946	4
0	0
176	0
2	0
0	0
86	0
13	0
10	0
0	0
0	0
291	0
103	0
43	0
190	0
110	3
100	0
74	1
373	1
0	0
2	0
26	0
0	0
1	0
2	0
0	0
3168	41
2134	40
3	0
71	0
1	0
0	0
1287	0
392	0
373	0
105	0
0	0
2535	0
0	0
1	0
0	0
6046	31
16639	84
5197	49
0	0
0	0
64549	2632
180145	2642
1054	27
66	0
2	0
30	0
494	0
405	0
46	0
10	0
6	0
83	0
2	0
0	0
0	0
0	0
1064	0
78	0
271	0
16	0
9	0
623	0
1720	0
0	0
18	0
40	0
121	0
94	0
1918	6
1029	7
55	0
1327	1
4968	47
10804	48
8341	159
4475	191
1109	73
12171	98
755	57
0	0
54	0
5	0
0	0
279	0
5258	52
2667	52
0	0
0	0
0	0
1	0
0	0
0	965
91	0
2726	1
0	0
121	0
52	0
12	0
5	0
9	0
35	0
85	2
299	2
87	0
8744	965
84	3307
0	2832
21	3029
25	2467
147	78
1	78
1975	1
3	838
68	838
803	1
8	1
0	0
0	1
1	1
38	0
0	0
729	0
1145	0
55	0
0	0
0	0
0	0
0	0
485	0
32	0
31	0
433	0
0	0
2	0
34	0
27	32
6	32
475	0
2942	2
1	0
93	209
3	209
339	766
0	766
46	0
7	321
53	321
357	1192
0	1192
0	0
778	1
10	17
0	17
169	0
115	1
4	1
0	0
868	0
1974	0
1	2
0	2
0	0
17	0
57	0
14	215
0	182
0	127
0	160
951	0
12190	2
5	0
106	444
1	444
0	0
24	0
510	0
1026	0
39	74
5	68
3	73
10	0
45	0
