UniqueCount	AmbigCount
0	0
0	0
0	17
0	0
16	0
73	0
129	2
212	1
1	0
7	0
2	0
1	0
1	0
5	0
118	24
0	9
1	159
0	0
0	0
0	24
0	31
0	0
0	0
0	0
0	0
0	13
0	18
0	7
0	37
0	1
0	2
5	0
15	0
0	0
0	0
3	0
1	105
0	0
0	0
0	0
55	67
0	0
0	3
1	2
0	0
0	0
1	0
226	0
0	14
0	20
33	51
3	28
5	12
4	103
0	27
2	0
0	0
28	61
3	11
23	51
44	0
0	0
0	19
7	0
67	0
15	0
137	0
0	0
179	0
0	0
191	0
1	0
1	0
63	25
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
1	96
1	0
0	0
0	0
0	0
0	0
2	0
4	7
3	4
0	13
0	0
0	4
0	0
2	14
1	4
151	0
5	37
23	3
0	21
35	1
1	3
0	1
0	1
1	0
0	0
419	131
0	34
3	0
0	3
11	0
23	0
0	0
8	29
0	0
18	638
54	104
15	0
26	6
0	0
0	0
0	0
0	2
0	22
0	9
2	76
0	0
0	0
0	0
4	5
6	41
0	0
2	0
215	0
98	0
0	0
4	0
9	0
4461	6
0	0
211	0
3	0
0	0
95	0
17	0
17	0
0	0
0	0
397	0
130	0
82	1
291	1
158	16
144	2
223	0
653	0
0	0
1	0
101	0
0	0
2	0
0	0
0	0
3010	34
2065	34
4	0
92	0
1	0
0	0
1347	0
507	0
457	0
144	0
1	0
2837	3
0	0
6	0
0	0
6917	16
21977	41
4840	23
0	0
0	0
84163	1986
210836	2005
1070	28
58	0
2	0
56	0
585	1
527	1
85	0
7	0
8	0
79	0
0	0
2	0
0	0
0	0
1950	0
107	0
537	0
33	0
10	0
686	0
2387	0
3	0
22	0
47	0
201	0
123	0
2740	6
1423	6
127	0
1915	3
5316	35
11946	32
8840	113
4552	139
1342	58
13747	56
861	24
0	0
115	0
7	0
4	0
263	0
4873	29
2445	28
0	0
0	0
0	0
0	0
0	0
0	1232
108	1
2493	0
0	0
121	0
86	0
15	0
12	0
29	0
39	2
147	2
405	1
125	1
12565	1232
126	6596
0	5696
37	5960
18	5057
114	57
4	57
2759	0
7	1170
59	1170
691	1
8	1
0	0
0	0
0	0
69	0
0	0
1154	0
851	0
98	0
0	0
0	0
0	0
0	0
1005	0
20	0
68	0
530	0
0	2
12	0
21	0
38	53
6	54
143	2
7775	2
1	0
147	388
8	388
456	1074
0	1074
30	0
31	738
89	738
414	1409
2	1409
0	0
1170	0
63	80
0	80
326	0
291	11
24	11
0	0
812	0
4546	0
3	0
0	0
0	0
8	0
25	0
20	445
0	371
0	264
4	338
1428	0
15879	2
0	0
109	754
1	754
0	0
61	0
709	0
1360	0
77	131
11	114
